=== TOKENS ENCONTRADOS ===
399
[L:1,C:1] COMENTARIO: // Indica que estamos en el archivo principal
[L:17,C:14] CADENA: "\n\nMapeo"
[L:17,C:25] PUNTUACION: )
[L:17,C:26] PUNTUACION: ;
[L:18,C:5] IDENTIFICADOR: mapeo
[L:18,C:10] PUNTUACION: (
[L:18,C:11] PUNTUACION: )
[L:18,C:12] PUNTUACION: ;
[L:20,C:5] IDENTIFICADOR: println
[L:20,C:12] OPERADOR: !
[L:20,C:13] PUNTUACION: (
[L:20,C:14] CADENA: "\n\nEstructuras"
[L:20,C:31] PUNTUACION: )
[L:20,C:32] PUNTUACION: ;
[L:21,C:5] IDENTIFICADOR: estructuras
[L:21,C:16] PUNTUACION: (
[L:21,C:17] PUNTUACION: )
[L:21,C:18] PUNTUACION: ;
[L:22,C:1] PUNTUACION: }
[L:24,C:1] COMENTARIO: // Funcion que demuestra uso de tipos de datos
[L:25,C:1] PALABRA CLAVE: fn
[L:25,C:4] IDENTIFICADOR: tipos_datos
[L:25,C:15] PUNTUACION: (
[L:25,C:16] PUNTUACION: )
[L:25,C:18] PUNTUACION: {
[L:26,C:5] PALABRA CLAVE: let
[L:26,C:9] IDENTIFICADOR: nombre
[L:26,C:16] OPERADOR: =
[L:26,C:18] CADENA: "Juan"
[L:26,C:24] PUNTUACION: ;
[L:26,C:26] COMENTARIO: // Declara una variable inmutable
[L:27,C:5] PALABRA CLAVE: let
[L:27,C:9] IDENTIFICADOR: edad
[L:27,C:13] OPERADOR: :
[L:27,C:15] IDENTIFICADOR: i32
[L:27,C:19] OPERADOR: =
[L:27,C:21] NUMERO ENTERO: 30
[L:27,C:23] PUNTUACION: ;
[L:27,C:26] COMENTARIO: // Declara una variable con tipo explicito
[L:28,C:5] IDENTIFICADOR: println
[L:28,C:12] OPERADOR: !
[L:28,C:13] PUNTUACION: (
[L:28,C:14] CADENA: "Hola, {}! Tienes {} años."
[L:28,C:42] PUNTUACION: ,
[L:28,C:44] IDENTIFICADOR: nombre
[L:28,C:50] PUNTUACION: ,
[L:28,C:52] IDENTIFICADOR: edad
[L:28,C:56] PUNTUACION: )
[L:28,C:57] PUNTUACION: ;
[L:28,C:59] COMENTARIO: // Imprime mensaje formateado
[L:29,C:1] PUNTUACION: }
[L:31,C:1] COMENTARIO: // Función que demuestra una estructura condicional
[L:32,C:1] PALABRA CLAVE: fn
[L:32,C:4] IDENTIFICADOR: condicionales
[L:32,C:17] PUNTUACION: (
[L:32,C:18] PUNTUACION: )
[L:32,C:20] PUNTUACION: {
[L:33,C:5] PALABRA CLAVE: let
[L:33,C:9] IDENTIFICADOR: numero
[L:33,C:16] OPERADOR: =
[L:33,C:18] NUMERO ENTERO: 10
[L:33,C:20] PUNTUACION: ;
[L:34,C:5] PALABRA CLAVE: if
[L:34,C:8] IDENTIFICADOR: numero
[L:34,C:15] OPERADOR: %
[L:34,C:17] NUMERO ENTERO: 2
[L:34,C:19] OPERADOR: ==
[L:34,C:22] NUMERO ENTERO: 0
[L:34,C:24] PUNTUACION: {
[L:34,C:26] COMENTARIO: // Verifica si el numero es par
[L:35,C:9] IDENTIFICADOR: println
[L:35,C:16] OPERADOR: !
[L:35,C:17] PUNTUACION: (
[L:35,C:18] CADENA: "El numero es par."
[L:35,C:37] PUNTUACION: )
[L:35,C:38] PUNTUACION: ;
[L:36,C:5] PUNTUACION: }
[L:36,C:7] PALABRA CLAVE: else
[L:36,C:12] PUNTUACION: {
[L:37,C:9] IDENTIFICADOR: println
[L:37,C:16] OPERADOR: !
[L:37,C:17] PUNTUACION: (
[L:37,C:18] CADENA: "El numero es impar."
[L:37,C:39] PUNTUACION: )
[L:37,C:40] PUNTUACION: ;
[L:38,C:5] PUNTUACION: }
[L:39,C:1] PUNTUACION: }
[L:41,C:1] COMENTARIO: // Funcion que muestra un ciclo for
[L:42,C:1] PALABRA CLAVE: fn
[L:42,C:4] IDENTIFICADOR: ciclo_for
[L:42,C:13] PUNTUACION: (
[L:42,C:14] PUNTUACION: )
[L:42,C:16] PUNTUACION: {
[L:43,C:5] PALABRA CLAVE: for
[L:43,C:9] IDENTIFICADOR: i
[L:43,C:11] PALABRA CLAVE: in
[L:43,C:14] NUUMERO DECIMAL: 0.
[L:43,C:16] OPERADOR: .
[L:43,C:17] NUMERO ENTERO: 8
[L:43,C:19] PUNTUACION: {
[L:43,C:21] COMENTARIO: // Recorre del 0 al 7
[L:44,C:9] IDENTIFICADOR: println
[L:44,C:16] OPERADOR: !
[L:44,C:17] PUNTUACION: (
[L:44,C:18] CADENA: "Iteracion: {}"
[L:44,C:33] PUNTUACION: ,
[L:44,C:35] IDENTIFICADOR: i
[L:44,C:36] PUNTUACION: )
[L:44,C:37] PUNTUACION: ;
[L:45,C:5] PUNTUACION: }
[L:46,C:1] PUNTUACION: }
[L:48,C:1] COMENTARIO: // Funcion que muestra uso de vectores
[L:49,C:1] PALABRA CLAVE: fn
[L:49,C:4] IDENTIFICADOR: arreglos
[L:49,C:12] PUNTUACION: (
[L:49,C:13] PUNTUACION: )
[L:49,C:15] PUNTUACION: {
[L:50,C:5] PALABRA CLAVE: let
[L:50,C:9] IDENTIFICADOR: numeros
[L:50,C:17] OPERADOR: =
[L:50,C:19] PUNTUACION: [
[L:50,C:20] NUMERO ENTERO: 1
[L:50,C:21] PUNTUACION: ,
[L:50,C:23] NUMERO ENTERO: 2
[L:50,C:24] PUNTUACION: ,
[L:50,C:26] NUMERO ENTERO: 3
[L:50,C:27] PUNTUACION: ,
[L:50,C:29] NUMERO ENTERO: 4
[L:50,C:30] PUNTUACION: ,
[L:50,C:32] NUMERO ENTERO: 5
[L:50,C:33] PUNTUACION: ]
[L:50,C:34] PUNTUACION: ;
[L:50,C:36] COMENTARIO: // Arreglo de enteros con tamanio fijo
[L:51,C:5] PALABRA CLAVE: let
[L:51,C:9] PALABRA CLAVE: mut
[L:51,C:13] IDENTIFICADOR: tallas
[L:51,C:20] OPERADOR: =
[L:51,C:22] IDENTIFICADOR: vec
[L:51,C:25] OPERADOR: !
[L:51,C:26] PUNTUACION: [
[L:51,C:27] CADENA: "S"
[L:51,C:30] PUNTUACION: ,
[L:51,C:32] CADENA: "M"
[L:51,C:35] PUNTUACION: ,
[L:51,C:37] CADENA: "L"
[L:51,C:40] PUNTUACION: ,
[L:51,C:42] CADENA: "XL"
[L:51,C:46] PUNTUACION: ,
[L:51,C:48] CADENA: "XXL"
[L:51,C:53] PUNTUACION: ]
[L:51,C:54] PUNTUACION: ;
[L:51,C:56] COMENTARIO: // Vector (slice dinamico)
[L:53,C:5] IDENTIFICADOR: println
[L:53,C:12] OPERADOR: !
[L:53,C:13] PUNTUACION: (
[L:53,C:14] CADENA: "Arreglo de numeros: {:?}"
[L:53,C:40] PUNTUACION: ,
[L:53,C:42] IDENTIFICADOR: numeros
[L:53,C:49] PUNTUACION: )
[L:53,C:50] PUNTUACION: ;
[L:53,C:52] COMENTARIO: // {:?} para imprimir estructuras complejas
[L:54,C:5] IDENTIFICADOR: println
[L:54,C:12] OPERADOR: !
[L:54,C:13] PUNTUACION: (
[L:54,C:14] CADENA: "Slice de tallas: {:?}"
[L:54,C:37] PUNTUACION: ,
[L:54,C:39] IDENTIFICADOR: tallas
[L:54,C:45] PUNTUACION: )
[L:54,C:46] PUNTUACION: ;
[L:56,C:5] IDENTIFICADOR: tallas
[L:56,C:11] OPERADOR: .
[L:56,C:12] IDENTIFICADOR: push
[L:56,C:16] PUNTUACION: (
[L:56,C:17] CADENA: "XXXL"
[L:56,C:23] PUNTUACION: )
[L:56,C:24] PUNTUACION: ;
[L:56,C:26] COMENTARIO: // Agrega una talla al final del vector
[L:57,C:5] IDENTIFICADOR: println
[L:57,C:12] OPERADOR: !
[L:57,C:13] PUNTUACION: (
[L:57,C:14] CADENA: "Tallas actualizadas: {:?}"
[L:57,C:41] PUNTUACION: ,
[L:57,C:43] IDENTIFICADOR: tallas
[L:57,C:49] PUNTUACION: )
[L:57,C:50] PUNTUACION: ;
[L:58,C:1] PUNTUACION: }
[L:60,C:1] COMENTARIO: // Funcion que muestra uso de mapas
[L:61,C:1] PALABRA CLAVE: fn
[L:61,C:4] IDENTIFICADOR: mapeo
[L:61,C:9] PUNTUACION: (
[L:61,C:10] PUNTUACION: )
[L:61,C:12] PUNTUACION: {
[L:62,C:5] PALABRA CLAVE: use
[L:62,C:9] IDENTIFICADOR: std
[L:62,C:12] OPERADOR: ::
[L:62,C:14] IDENTIFICADOR: collections
[L:62,C:25] OPERADOR: ::
[L:62,C:27] IDENTIFICADOR: HashMap
[L:62,C:34] PUNTUACION: ;
[L:64,C:5] PALABRA CLAVE: let
[L:64,C:9] PALABRA CLAVE: mut
[L:64,C:13] IDENTIFICADOR: disponibles
[L:64,C:25] OPERADOR: =
[L:64,C:27] IDENTIFICADOR: HashMap
[L:64,C:34] OPERADOR: ::
[L:64,C:36] IDENTIFICADOR: new
[L:64,C:39] PUNTUACION: (
[L:64,C:40] PUNTUACION: )
[L:64,C:41] PUNTUACION: ;
[L:64,C:43] COMENTARIO: // Crea un nuevo HashMap
[L:65,C:5] IDENTIFICADOR: disponibles
[L:65,C:16] OPERADOR: .
[L:65,C:17] IDENTIFICADOR: insert
[L:65,C:23] PUNTUACION: (
[L:65,C:24] CADENA: "Azul"
[L:65,C:30] PUNTUACION: ,
[L:65,C:32] NUMERO ENTERO: 10
[L:65,C:34] PUNTUACION: )
[L:65,C:35] PUNTUACION: ;
[L:66,C:5] IDENTIFICADOR: disponibles
[L:66,C:16] OPERADOR: .
[L:66,C:17] IDENTIFICADOR: insert
[L:66,C:23] PUNTUACION: (
[L:66,C:24] CADENA: "Rojo"
[L:66,C:30] PUNTUACION: ,
[L:66,C:32] NUMERO ENTERO: 5
[L:66,C:33] PUNTUACION: )
[L:66,C:34] PUNTUACION: ;
[L:67,C:5] IDENTIFICADOR: disponibles
[L:67,C:16] OPERADOR: .
[L:67,C:17] IDENTIFICADOR: insert
[L:67,C:23] PUNTUACION: (
[L:67,C:24] CADENA: "Verde"
[L:67,C:31] PUNTUACION: ,
[L:67,C:33] NUMERO ENTERO: 8
[L:67,C:34] PUNTUACION: )
[L:67,C:35] PUNTUACION: ;
[L:68,C:5] IDENTIFICADOR: disponibles
[L:68,C:16] OPERADOR: .
[L:68,C:17] IDENTIFICADOR: insert
[L:68,C:23] PUNTUACION: (
[L:68,C:24] CADENA: "Amarillo"
[L:68,C:34] PUNTUACION: ,
[L:68,C:36] NUMERO ENTERO: 3
[L:68,C:37] PUNTUACION: )
[L:68,C:38] PUNTUACION: ;
[L:68,C:40] COMENTARIO: // Agrega un nuevo elemento
[L:70,C:5] COMENTARIO: // Accede e imprime valores especificos
[L:71,C:5] PALABRA CLAVE: if
[L:71,C:8] PALABRA CLAVE: let
[L:71,C:12] PALABRA CLAVE: Some
[L:71,C:16] PUNTUACION: (
[L:71,C:17] IDENTIFICADOR: rojo
[L:71,C:21] PUNTUACION: )
[L:71,C:23] OPERADOR: =
[L:71,C:25] IDENTIFICADOR: disponibles
[L:71,C:36] OPERADOR: .
[L:71,C:37] IDENTIFICADOR: get
[L:71,C:40] PUNTUACION: (
[L:71,C:41] CADENA: "Rojo"
[L:71,C:47] PUNTUACION: )
[L:71,C:49] PUNTUACION: {
[L:72,C:9] IDENTIFICADOR: println
[L:72,C:16] OPERADOR: !
[L:72,C:17] PUNTUACION: (
[L:72,C:18] CADENA: "Camisas Rojas Disponibles: {}"
[L:72,C:49] PUNTUACION: ,
[L:72,C:51] IDENTIFICADOR: rojo
[L:72,C:55] PUNTUACION: )
[L:72,C:56] PUNTUACION: ;
[L:73,C:5] PUNTUACION: }
[L:75,C:5] IDENTIFICADOR: println
[L:75,C:12] OPERADOR: !
[L:75,C:13] PUNTUACION: (
[L:75,C:14] CADENA: "Inventario de Camisas: {:?}"
[L:75,C:43] PUNTUACION: ,
[L:75,C:45] IDENTIFICADOR: disponibles
[L:75,C:56] PUNTUACION: )
[L:75,C:57] PUNTUACION: ;
[L:76,C:1] PUNTUACION: }
[L:78,C:1] COMENTARIO: // Funcion que muestra uso de estructuras
[L:79,C:1] PALABRA CLAVE: fn
[L:79,C:4] IDENTIFICADOR: estructuras
[L:79,C:15] PUNTUACION: (
[L:79,C:16] PUNTUACION: )
[L:79,C:18] PUNTUACION: {
[L:80,C:5] COMENTARIO: // Declaracion de la estructura Estudiante
[L:81,C:5] PALABRA CLAVE: struct
[L:81,C:12] IDENTIFICADOR: Estudiante
[L:81,C:23] PUNTUACION: {
[L:82,C:9] IDENTIFICADOR: nombre
[L:82,C:15] OPERADOR: :
[L:82,C:17] IDENTIFICADOR: String
[L:82,C:23] PUNTUACION: ,
[L:83,C:9] IDENTIFICADOR: numero_cuenta
[L:83,C:22] OPERADOR: :
[L:83,C:24] IDENTIFICADOR: i32
[L:83,C:27] PUNTUACION: ,
[L:84,C:5] PUNTUACION: }
[L:86,C:5] COMENTARIO: // Instancia de la estructura
[L:87,C:5] PALABRA CLAVE: let
[L:87,C:9] IDENTIFICADOR: estudiante
[L:87,C:20] OPERADOR: =
[L:87,C:22] IDENTIFICADOR: Estudiante
[L:87,C:33] PUNTUACION: {
[L:88,C:9] IDENTIFICADOR: nombre
[L:88,C:15] OPERADOR: :
[L:88,C:17] IDENTIFICADOR: String
[L:88,C:23] OPERADOR: ::
[L:88,C:25] IDENTIFICADOR: from
[L:88,C:29] PUNTUACION: (
[L:88,C:30] CADENA: "Tiffanny"
[L:88,C:40] PUNTUACION: )
[L:88,C:41] PUNTUACION: ,
[L:89,C:9] IDENTIFICADOR: numero_cuenta
[L:89,C:22] OPERADOR: :
[L:89,C:24] NUMERO ENTERO: 11811146
[L:89,C:32] PUNTUACION: ,
[L:90,C:5] PUNTUACION: }
[L:90,C:6] PUNTUACION: ;
[L:92,C:5] COMENTARIO: // Imprimir los campos de la estructura
[L:93,C:5] IDENTIFICADOR: println
[L:93,C:12] OPERADOR: !
[L:93,C:13] PUNTUACION: (
[L:93,C:14] CADENA: "Informacion del Estudiante:"
[L:93,C:43] PUNTUACION: )
[L:93,C:44] PUNTUACION: ;
[L:94,C:5] IDENTIFICADOR: println
[L:94,C:12] OPERADOR: !
[L:94,C:13] PUNTUACION: (
[L:94,C:14] CADENA: "Nombre: {} Edad: {}"
[L:94,C:35] PUNTUACION: ,
[L:94,C:37] IDENTIFICADOR: estudiante
[L:94,C:47] OPERADOR: .
[L:94,C:48] IDENTIFICADOR: nombre
[L:94,C:54] PUNTUACION: ,
[L:94,C:56] IDENTIFICADOR: estudiante
[L:94,C:66] OPERADOR: .
[L:94,C:67] IDENTIFICADOR: numero_cuenta
[L:94,C:80] PUNTUACION: )
[L:94,C:81] PUNTUACION: ;
[L:95,C:1] PUNTUACION: }
[L:96,C:1] COMENTARIO: // Este es un ejemplo de un programa en Rust que muestra varios conceptos basicos
[L:96,C:82] FIN: 
=== FIN TOKENS ===
